case	round	attempt	stratum	baseline_wall_s	candidate_wall_s	wall_log_ratio	baseline_rss_kb	candidate_rss_kb	rss_difference_kb	baseline_raw	candidate_raw
indented_ast_1k	1	1	BC	20.34	22.37	0.095131384882	10372	10512	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r01_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r01_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	2	1	CB	10.31	12.40	0.184582174582	10368	10640	272	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r02_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r02_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	3	1	BC	10.12	10.44	0.031130918595	10372	10512	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r03_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r03_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	4	1	CB	13.86	13.89	0.002162163004	10372	10508	136	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r04_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r04_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	5	1	BC	13.31	15.39	0.145202315444	10372	10512	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r05_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r05_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	6	1	CB	13.92	12.47	-0.110000895214	10496	10640	144	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r06_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r06_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	7	1	BC	10.84	11.94	0.096651111953	10500	10640	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r07_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r07_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	8	1	CB	17.42	17.43	0.000573888108	10500	10640	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r08_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r08_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	9	1	BC	13.81	14.14	0.023614693047	10372	10512	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r09_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r09_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	10	3	CB	14.27	13.90	-0.026270591352	10500	10512	12	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r10_a3_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r10_a3_o08_indented_ast_1k_candidate.raw
indented_ast_1k	11	1	BC	19.68	19.97	0.014628255804	10500	10640	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r11_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r11_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	12	1	CB	11.56	11.21	-0.030744626160	10500	10640	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r12_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r12_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	13	1	BC	11.24	11.32	0.007092228309	10372	10640	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r13_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r13_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	14	1	CB	8.59	9.37	0.086914360254	10500	10640	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r14_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r14_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	15	1	BC	8.16	9.14	0.113416216490	10500	10512	12	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r15_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r15_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	16	1	CB	8.67	8.84	0.019418085857	10372	10768	396	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r16_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r16_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	17	1	BC	9.02	8.94	-0.008908744889	10376	10768	392	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r17_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r17_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	18	1	CB	8.47	8.08	-0.047138636131	10500	10640	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r18_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r18_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	19	1	BC	8.19	8.29	0.012136071282	10500	10640	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r19_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r19_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	20	1	CB	8.47	9.49	0.113708103958	10500	10640	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r20_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r20_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	21	1	BC	8.12	8.96	0.098440072813	10372	10512	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r21_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r21_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	22	1	CB	8.07	8.29	0.026896486865	10372	10640	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r22_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r22_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	23	1	BC	9.04	8.10	-0.109795112726	10372	10640	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r23_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r23_a1_o01_indented_ast_1k_candidate.raw
