timestamp	phase	round	attempt	case	case_order	subject	pair_order	items	repeats	wall_raw	rss_kb	exit	affinity	valid	raw_file	command
2026-08-30T19:42:20,975840144+09:00	warmup	1	1	indented_ast_1k	1	baseline	1	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o01_indented_ast_1k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_ast YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:42:36,263219536+09:00	warmup	1	1	indented_ast_1k	1	candidate	2	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o01_indented_ast_1k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_ast YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:42:58,182002941+09:00	warmup	1	1	indented_ast_10k	2	baseline	1	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o02_indented_ast_10k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_ast YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:43:23,820399904+09:00	warmup	1	1	indented_ast_10k	2	candidate	2	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o02_indented_ast_10k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_ast YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:43:54,037563566+09:00	warmup	1	1	indented_direct_1k	3	baseline	1	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o03_indented_direct_1k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_direct YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:44:12,711174382+09:00	warmup	1	1	indented_direct_1k	3	candidate	2	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o03_indented_direct_1k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_direct YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:44:37,804609485+09:00	warmup	1	1	indented_direct_10k	4	baseline	1	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o04_indented_direct_10k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_direct YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:45:17,308771948+09:00	warmup	1	1	indented_direct_10k	4	candidate	2	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o04_indented_direct_10k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_direct YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:46:02,821365377+09:00	warmup	1	1	braced_ast_1k	5	baseline	1	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o05_braced_ast_1k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_ast YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:46:18,508863656+09:00	warmup	1	1	braced_ast_1k	5	candidate	2	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o05_braced_ast_1k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_ast YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
