round	stratum	case	items	repeats	baseline_wall	baseline_rss_kb	candidate_wall	candidate_rss_kb	baseline_exit	candidate_exit	baseline_affinity	candidate_affinity	baseline_timestamp	candidate_timestamp
1	BC	indented_ast	1000	50	0:08.67	10536	0:09.82	10540	0	0	10	10	2026-08-30T15:50:29+09:00	2026-08-30T15:50:38+09:00
1	BC	indented_ast	10000	8	0:13.84	35572	0:15.22	35708	0	0	10	10	2026-08-30T15:50:53+09:00	2026-08-30T15:51:06+09:00
1	BC	braced_ast	1000	50	0:08.25	10400	0:08.29	10412	0	0	10	10	2026-08-30T15:51:27+09:00	2026-08-30T15:51:35+09:00
1	BC	braced_ast	10000	8	0:14.59	35552	0:13.45	35704	0	0	10	10	2026-08-30T15:51:48+09:00	2026-08-30T15:52:03+09:00
1	BC	indented_direct	1000	50	0:10.75	8576	0:09.89	8448	0	0	10	10	2026-08-30T15:52:22+09:00	2026-08-30T15:52:32+09:00
1	BC	indented_direct	10000	8	0:16.71	10040	0:16.09	10300	0	0	10	10	2026-08-30T15:52:47+09:00	2026-08-30T15:53:04+09:00
1	BC	braced_direct	1000	50	0:09.61	8704	0:09.11	8576	0	0	10	10	2026-08-30T15:53:25+09:00	2026-08-30T15:53:35+09:00
1	BC	braced_direct	10000	8	0:14.50	10020	0:15.13	10152	0	0	10	10	2026-08-30T15:53:49+09:00	2026-08-30T15:54:04+09:00
2	CB	braced_direct	10000	8	0:15.07	9892	0:14.45	10412	0	0	10	10	2026-08-30T15:54:38+09:00	2026-08-30T15:54:24+09:00
2	CB	braced_direct	1000	50	0:09.88	8576	0:09.11	8704	0	0	10	10	2026-08-30T15:55:08+09:00	2026-08-30T15:54:58+09:00
2	CB	indented_direct	10000	8	0:17.92	10296	0:17.06	10428	0	0	10	10	2026-08-30T15:55:40+09:00	2026-08-30T15:55:22+09:00
2	CB	indented_direct	1000	50	0:12.47	8704	0:11.56	8576	0	0	10	10	2026-08-30T15:56:14+09:00	2026-08-30T15:56:03+09:00
2	CB	braced_ast	10000	8	0:17.41	35552	0:15.97	35692	0	0	10	10	2026-08-30T15:56:48+09:00	2026-08-30T15:56:32+09:00
2	CB	braced_ast	1000	50	0:11.86	10400	0:10.26	10412	0	0	10	10	2026-08-30T15:57:21+09:00	2026-08-30T15:57:10+09:00
2	CB	indented_ast	10000	8	0:18.06	35700	0:17.01	35836	0	0	10	10	2026-08-30T15:57:55+09:00	2026-08-30T15:57:37+09:00
2	CB	indented_ast	1000	50	0:11.15	10528	0:10.85	10668	0	0	10	10	2026-08-30T15:58:29+09:00	2026-08-30T15:58:18+09:00
3	BC	indented_ast	1000	50	0:09.91	10532	0:10.33	10540	0	0	10	10	2026-08-30T15:58:45+09:00	2026-08-30T15:58:55+09:00
3	BC	indented_ast	10000	8	0:15.80	35700	0:15.46	35708	0	0	10	10	2026-08-30T15:59:10+09:00	2026-08-30T15:59:26+09:00
3	BC	braced_ast	1000	50	0:08.89	10400	0:09.04	10412	0	0	10	10	2026-08-30T15:59:47+09:00	2026-08-30T15:59:55+09:00
3	BC	braced_ast	10000	8	0:14.79	35564	0:14.15	35564	0	0	10	10	2026-08-30T16:00:10+09:00	2026-08-30T16:00:24+09:00
3	BC	indented_direct	1000	50	0:09.80	8448	0:09.67	8448	0	0	10	10	2026-08-30T16:00:44+09:00	2026-08-30T16:00:54+09:00
3	BC	indented_direct	10000	8	0:16.95	10040	0:15.50	10428	0	0	10	10	2026-08-30T16:01:09+09:00	2026-08-30T16:01:26+09:00
3	BC	braced_direct	1000	50	0:09.57	8576	0:09.24	8704	0	0	10	10	2026-08-30T16:01:46+09:00	2026-08-30T16:01:56+09:00
3	BC	braced_direct	10000	8	0:15.21	10332	0:13.93	10028	0	0	10	10	2026-08-30T16:02:10+09:00	2026-08-30T16:02:26+09:00
